,question_id,exam_id,content,tip_enabled,points
0,1,2,"<span class=""token function selector"">[latex] \frac</span><span class=""token punctuation"">{</span>3<span class=""token punctuation"">}</span><span class=""token punctuation"">{</span>4<span class=""token punctuation"">}</span> : <span class=""token function selector"">\frac</span><span class=""token punctuation"">{</span>5<span class=""token punctuation"">}</span><span class=""token punctuation"">{</span>2<span class=""token punctuation"">} <span class=""token function selector"">[/latex] </span></span>",0,1
1,2,2,[latex] 9600 + $$\bigbox$$ = 24000 ?  [/latex],0,1
2,3,2,[latex] 9600 + \Box = 24000  [/latex],0,1
3,4,2,[latex] 9600 + ? = 24000  [/latex],0,1
4,5,0,,0,1
5,6,2,9600 + ? = 2400,0,1
6,7,2,? - 3800 = 6700,0,1
7,8,2,1 000 000 - ? = 240,0,1
8,9,2,"? + 240 = 30""000",0,1
9,10,2,"452""568 + ? = 1""000""000",0,1
10,11,2,9600 + ? = 2400,0,1
11,12,2,? - 3800 = 6700,0,1
12,13,2,1 000 000 - ? = 240,0,1
13,14,2,"? - 376 = 591""420",0,1
14,15,2,"900""000 - ? = 131",0,1
15,16,2,"? = 94 = 80""001",0,1
16,17,3,36.895 + 44.785,0,1
17,18,3,64.356 + 88.4 =?,0,1
18,19,3,789.04 + 88.4 =?,0,1
19,20,3,493.052 + 78.068 = ?,0,1
20,21,3,789.625 - 22.508 =?,0,1
21,22,3,68.52 - 12.483 = ?,0,1
22,23,3,26.044 - 5.8 =?,0,1
23,24,3,156.345 - 99.06 = ?,0,1
24,25,4,<p>[latex](272 \frac{11}{20} ÷ 23)+?=(29\cdot12\frac{3}{4})-181.5[/latex]</p>,0,1
25,26,4,<p>[latex](576.825 + 32 \frac{27}{40}) ÷ ? = 126.6 - (16 \cdot 4\frac{3}{5})[/latex]</p>,0,1
26,27,4,<p>[latex](3 \cdot51 \frac{11}{25}) - ? = (691\frac{5}{8}+ 436.375) ÷ 48[/latex]</p>,0,1
27,28,4,[latex](135 \frac{7}{10} + 628.36) : \square = (14 \cdot 5\frac{4}{5})-70.2 [/latex],0,1
28,29,4,(156 \frac{1}{4}- 57.5) = (107 \frac{1}{20}- ? ) : 4,0,1
29,30,4,<p>[latex]20\frac{3}{8}+(65.91 ÷ 13)-(12\cdot1\frac{9}{25})[/latex]</p>,0,1
30,31,4,26.044 - 5.8 =?,0,1
0,32,4,156.345 - 99.06 = ?,0,1
1,33,4,<p>[latex](135 \frac{7}{10} + 628.36) ÷ ? = (14 \cdot 5\frac{4}{5})-70.2 [/latex]</p>,0,1
2,34,4,<p>[latex](156 \frac{1}{4}- 57.5) = (107 \frac{1}{20}+ ?) ÷ 4[/latex]</p>,0,1
3,35,0,,0,1
4,36,5,249677 + 414792 = ?,0,1
5,37,5,18652 + 2679 = ? ,0,1
6,38,5,8653 - 5297 = ?,0,1
7,39,5,2445 + 823 + 2671 + 2987 = ? ,0,1
8,40,5,777245 - 38319 - 254 = ? ,0,1
9,41,5,21876 - 1562 - 2341 = ? ,0,1
10,42,5,26.044 - 5.8 =?,0,1
11,43,5,156.345 - 99.06 = ?,0,1
12,44,6,6 * 900 = ?,0,1
13,45,6,8 * 120 = ? ,0,1
14,46,6,3 * 99 = ?,0,1
15,47,6,700 * 7 = ?,0,1
16,48,6,80 * 705 = ?,0,1
17,49,6,70 * 814 = ?,0,1
18,50,6,12 * 11 = ?,0,1
19,51,6,14 * 120 = ?,0,1
20,52,6,5 * 1279 = ?,0,1
21,53,6,7 * 725 = ?,0,1
22,54,6,9 * 629 = ?,0,1
23,55,7,12 * 2.15 = ?,0,1
24,56,7,5.361 * 3 = ?,0,1
25,57,7,91.2 * 4 = ?,0,1
26,58,7,62 * 1.3 = ?,0,1
27,59,7,9 * 629 = ?,0,1
28,60,7,5 * 1.5 = ?,0,1
29,61,7,7 * 13.1 = ?,0,1
30,62,7,23  * 0.5 = ?,0,1
31,63,7,1.75 * 3 = ?,0,1
0,64,7,50 * 2.3 = ?,0,1
1,65,7,2 * 97.34 = ?,0,1
2,66,8,0.0875 : 7 = ?,0,1
3,67,8,2930.67 : 9 = ?,0,1
4,68,8,91.2 * 4 = ?,0,1
5,69,8,62 * 1.3 = ?,0,1
6,70,8,34.5 : 5 = ?,0,1
7,71,8,890.12 : 2 = ?,0,1
8,72,8,23  * 0.5 = ?,0,1
9,73,8,12.66 : 3 = ?,0,1
10,74,8,55.3 : 7 = ?,0,1
11,75,8,0.9 : 12 = ? ,0,1
12,76,9,24000 : ? = 600,0,1
13,77,9,56000 : ? = 70 * 80,0,1
14,78,9,69927 : 11 = ?,0,1
15,79,9,62 * 1.3 = ?,0,1
16,80,9,3300 = 11 * ?,0,1
17,81,9,? * 500 = 100 * 35,0,1
18,82,9,49 * ? = 7000 * 7,0,1
19,83,9,? * 120 = 300 * 40,0,1
20,84,9,320 : ? = 400 : 10,0,1
21,85,9,? : 80 = 800,0,1
22,86,10,24000 : ? = 600,0,1
23,87,10,56000 : ? = 70 * 80,0,1
24,88,10,69927 : 11 = ?,0,1
25,89,10,[latex]\frac{5}{9} + \frac{1}{4}  = ? [/latex],0,1
26,90,10,? * 500 = 100 * 35,0,1
27,91,10,49 * ? = 7000 * 7,0,1
28,92,10,? * 120 = 300 * 40,0,1
29,93,10,320 : ? = 400 : 10,0,1
30,94,10,? : 80 = 800,0,1
0,95,10,[latex]\frac{5}{9} + \frac{1}{4}  = ? [/latex],0,1
1,96,10,[latex]\frac{3}{9} - \frac{1}{10} = ?[/latex],0,1
2,97,10,[latex]\frac{6}{8}+ \frac{4}{5} = ?[/latex],0,1
3,98,10,[latex]\frac{9}{8} - \frac{8}{9} = ?[/latex],0,1
4,99,10,[latex]\frac{1}{4} - \frac{5}{9} = ?[/latex],0,1
5,100,10,[latex]1 \frac{2}{9} + \frac{7}{10}  = ?[/latex],0,1
6,101,10,[latex]\frac{4}{5} - \frac{3}{100} = ?[/latex],0,1
7,102,10,[latex]2 \frac{3}{8} - \frac{4}{9} = ?[/latex],0,1
8,103,10,[latex]\frac{1}{4} \cdot 8 = ?[/latex],0,1
9,104,10,[latex]1 \frac{2}{9} \cdot 3 = ?[/latex],0,1
10,105,10,[latex]\frac{4}{5} \cdot 5 = ?[/latex],0,1
11,106,10,[latex]\frac{4}{5} \cdot 5 = ?[/latex],0,1
12,107,10,[latex]\frac{6}{8}+ \frac{4}{5} = ?[/latex],0,1
13,108,10,[latex]\frac{9}{8} - \frac{8}{9} = ?[/latex],0,1
14,109,10,[latex]\frac{1}{4} - \frac{5}{9} = ?[/latex],0,1
15,110,10,[latex]1 \frac{2}{9} + \frac{7}{10}  = ?[/latex],0,1
16,111,10,[latex]\frac{4}{5} - \frac{3}{100} = ?[/latex],0,1
17,112,10,[latex]1 \frac{2}{9} \cdot 3 = ?[/latex],0,1
18,113,10,[latex]\frac{4}{5} \cdot 5 = ?[/latex],0,1
19,114,11,[latex]\frac{4}{5} \cdot 5 = ?[/latex],0,1
20,115,11,[latex]\frac{3}{4} : \frac{5}{2}  = ? [/latex],0,1
21,116,11,[latex]\frac{14}{15} = ?[/latex],0,1
22,117,11,[latex]\frac{5}{3} : \frac{2}{5} = ?[/latex],0,1
23,118,11,[latex]\frac{13}{35} : \frac{8}{15} = ?[/latex],0,1
24,119,11,[latex]\frac{20}{9} : \frac{5}{12} = ?[/latex],0,1
25,120,11,[latex]\frac{18}{25} : \frac{6}{5} = ?[/latex],0,1
26,121,11,[latex]\frac{35}{39} : \frac{7}{26} = ?[/latex],0,1
27,122,11,[latex]\frac{4}{15} : \frac{5}{8} = ?[/latex],0,1
28,123,11,[latex]\frac{1}{4} \cdot 8 = ?[/latex],0,1
0,124,11,[latex]1 \frac{2}{9} \cdot 3 = ?[/latex],0,1
1,125,11,[latex]\frac{4}{5} \cdot 5 = ?[/latex],0,1
2,126,12,[latex]\text{409} \cdot \text{0.409 km} = ? [/latex],0,1
3,127,12,<p>5.1 t <b>÷</b> 75 = ?</p>,0,1
4,128,12,<p>0.375 <b>·</b> 96 Fr. = ?</p>,0,1
5,129,12,<p>242.25 l <b>÷</b> 95 = ? cl</p>,0,1
6,130,12,3 t 560 kg - 765 kg + 4 t + 18565 kg + 20 kg - 1t 5 kg = ?,0,1
7,131,12,24 km 500 m + 7.625 km - 2 km + 750 m - 1.125 km = ? ,0,1
8,132,12,<p>73 <b>·</b> 14.145 l = ?</p>,0,1
9,133,12,<p>213 kg 850 g <b>÷</b> 53 = ?</p>,0,1
10,134,12,<p>685 <b>· </b>6.485 kg = ?</p>,0,1
